end_station_name,member_casual,total_trips_end_station
Sheffield Ave & Kingsbury St,member,970
Sedgwick St & Huron St,member,968
Dearborn Pkwy & Delaware Pl,casual,962
Franklin St & Lake St,member,944
Wabash Ave & Roosevelt Rd,casual,943
Sheffield Ave & Willow St,member,942
Clark St & Lake St,member,940
Clark St & Schiller St,casual,936
State St & 33rd St,member,933
Halsted St & Polk St,member,930
Lincoln Park Conservatory,casual,930
Sedgwick St & North Ave,member,929
Wood St & Milwaukee Ave,member,925
Rush St & Superior St,casual,921
Broadway & Sheridan Rd,member,919
Bissell St & Armitage Ave,casual,914
Desplaines St & Jackson Blvd,member,911
Millennium Park,member,902
Lake Shore Dr & North Blvd,member,901
Lakefront Trail & Bryn Mawr Ave,member,901
Wolcott Ave & Polk St,member,895
Broadway & Cornelia Ave,casual,888
Michigan Ave & 14th St,member,884
Stockton Dr & Wrightwood Ave,casual,883
Columbus Dr & Randolph St,casual,880
Mies van der Rohe Way & Chestnut St,casual,879
Clark St & Grace St,casual,875
Sheridan Rd & Irving Park Rd,member,874
Clarendon Ave & Gordon Ter,member,873
Aberdeen St & Monroe St,member,872
Clark St & Grace St,member,863
Ravenswood Ave & Lawrence Ave,member,861
Sheffield Ave & Wrightwood Ave,member,861
Southport Ave & Roscoe St,casual,860
Michigan Ave & Jackson Blvd,casual,836
Greenview Ave & Fullerton Ave,member,827
Federal St & Polk St,casual,822
Montrose Harbor,member,821
Halsted St & Wrightwood Ave,casual,817
Wabash Ave & 9th St,casual,814
Clark St & Chicago Ave,member,812
Aberdeen St & Jackson Blvd,member,808
Larrabee St & Division St,member,803
Desplaines St & Kinzie St,casual,801
Milwaukee Ave & Wabansia Ave,member,800
Pine Grove Ave & Irving Park Rd,member,799
Burnham Harbor,member,798
Paulina St & Flournoy St,member,796
Clifton Ave & Armitage Ave,member,794
Halsted St & Willow St,member,792
LaSalle Dr & Huron St,member,792
Clark St & Winnemac Ave,member,791
Halsted St & Dickens Ave,casual,788
Kimbark Ave & 53rd St,member,786
Ogden Ave & Race Ave,member,784
Broadway & Waveland Ave,casual,782
Michigan Ave & Pearson St,casual,776
Wood St & Milwaukee Ave,casual,776
Ritchie Ct & Banks St,member,772
Wilton Ave & Diversey Pkwy,casual,770
Clark St & Wellington Ave,casual,768
Southport Ave & Wellington Ave,member,766
Desplaines St & Randolph St,member,763
Dayton St & North Ave,member,759
Sheffield Ave & Wellington Ave,casual,757
Sheffield Ave & Wrightwood Ave,casual,757
Wells St & Polk St,member,756
Clark St & Lake St,casual,755
Clinton St & Madison St,casual,754
Sheffield Ave & Webster Ave,casual,752
Pine Grove Ave & Waveland Ave,casual,751
Broadway & Belmont Ave,casual,747
Southport Ave & Waveland Ave,casual,747
Sedgwick St & North Ave,casual,746
Lakefront Trail & Bryn Mawr Ave,casual,745
Racine Ave & Belmont Ave,member,745
May St & Taylor St,member,744
Field Blvd & South Water St,member,743
McClurg Ct & Erie St,casual,743
Milwaukee Ave & Grand Ave,casual,737
Damen Ave & Chicago Ave,member,734
Damen Ave & Cortland St,member,734
Racine Ave & Belmont Ave,casual,734
Lincoln Ave & Roscoe St,member,733
State St & Pearson St,member,725
Halsted St & Clybourn Ave,casual,723
Lincoln Ave & Belmont Ave,member,720
Aberdeen St & Randolph St,member,717
Clarendon Ave & Junior Ter,member,714
Clark St & North Ave,casual,713
Larrabee St & Armitage Ave,member,711
Franklin St & Illinois St,casual,699
DuSable Lake Shore Dr & Wellington Ave,member,696
Ritchie Ct & Banks St,casual,690
LaSalle St & Washington St,member,689
Dearborn St & Monroe St,casual,683
Ogden Ave & Chicago Ave,member,683
Clark St & North Ave,member,679
DuSable Lake Shore Dr & Belmont Ave,casual,679
Mies van der Rohe Way & Chicago Ave,casual,679
Cityfront Plaza Dr & Pioneer Ct,member,675
Fort Dearborn Dr & 31st St,casual,673
Orleans St & Hubbard St,member,671
Sangamon St & Washington Blvd,member,670
Franklin St & Jackson Blvd,casual,668
Canal St & Monroe St,member,666
Orleans St & Chestnut St (NEXT Apts),member,663
Lincoln Ave & Diversey Pkwy,casual,662
900 W Harrison St,member,661
Sedgwick St & Webster Ave,casual,661
Clark St & Chicago Ave,casual,660
Damen Ave & Division St,member,657
Shore Dr & 55th St,casual,657
Kingsbury St & Erie St,casual,656
Kedzie Ave & Milwaukee Ave,casual,651
Broadway & Wilson - Truman College Vaccination Site,member,650
Fairbanks St & Superior St,member,650
LaSalle Dr & Huron St,casual,645
Southport Ave & Wrightwood Ave,member,645
Sheffield Ave & Fullerton Ave,casual,643
