"","start_station_name","member_casual","total_trips_start_station"
"146","Clark St & Schiller St","casual",955
"147","Franklin St & Monroe St","member",951
"148","Morgan St & Lake St","casual",949
"149","Sedgwick St & Webster Ave","member",949
"150","Wells St & Hubbard St","casual",946
"151","State St & Kinzie St","casual",944
"152","Sheridan Rd & Montrose Ave","member",943
"153","Clarendon Ave & Gordon Ter","member",938
"154","Sheffield Ave & Waveland Ave","member",935
"155","Sheffield Ave & Willow St","member",933
"156","Halsted St & Polk St","member",930
"157","Rush St & Cedar St","casual",926
"158","Desplaines St & Jackson Blvd","member",923
"159","Sheffield Ave & Kingsbury St","member",922
"160","Lakefront Trail & Bryn Mawr Ave","member",919
"161","Broadway & Cornelia Ave","casual",918
"162","Burling St & Diversey Pkwy","member",916
"163","Southport Ave & Roscoe St","casual",911
"164","Millennium Park","member",910
"165","Ravenswood Ave & Lawrence Ave","member",909
"166","Rush St & Superior St","casual",906
"167","Lincoln Park Conservatory","casual",900
"168","Pine Grove Ave & Irving Park Rd","member",885
"169","Clark St & Grace St","casual",880
"170","Wood St & Milwaukee Ave","member",880
"171","Bissell St & Armitage Ave","casual",879
"172","Desplaines St & Kinzie St","casual",879
"173","Paulina St & Flournoy St","member",879
"174","State St & 33rd St","member",874
"175","Sheridan Rd & Irving Park Rd","member",869
"176","Broadway & Sheridan Rd","member",868
"177","Michigan Ave & 14th St","member",862
"178","Aberdeen St & Jackson Blvd","member",856
"179","Sheffield Ave & Wrightwood Ave","member",856
"180","LaSalle Dr & Huron St","member",854
"181","Federal St & Polk St","casual",853
"182","Wolcott Ave & Polk St","member",853
"183","Halsted St & Wrightwood Ave","casual",852
"184","Clark St & Chicago Ave","member",847
"185","Sheffield Ave & Wellington Ave","casual",847
"186","Halsted St & Willow St","member",844
"187","Stockton Dr & Wrightwood Ave","casual",832
"188","Burnham Harbor","member",831
"189","Lake Shore Dr & North Blvd","member",831
"190","Clifton Ave & Armitage Ave","member",826
"191","Wilton Ave & Diversey Pkwy","casual",823
"192","Michigan Ave & Jackson Blvd","casual",822
"193","Pine Grove Ave & Waveland Ave","casual",821
"194","Franklin St & Jackson Blvd","casual",818
"195","Montrose Harbor","member",814
"196","Sheffield Ave & Webster Ave","casual",811
"197","Greenview Ave & Fullerton Ave","member",809
"198","Ritchie Ct & Banks St","member",809
"199","Mies van der Rohe Way & Chestnut St","casual",803
"200","Milwaukee Ave & Grand Ave","casual",803
"201","Sheffield Ave & Wrightwood Ave","casual",803
"202","Clinton St & Madison St","casual",802
"203","McClurg Ct & Erie St","casual",800
"204","May St & Taylor St","member",794
"205","Broadway & Waveland Ave","casual",790
"206","Sedgwick St & North Ave","casual",790
"207","Stetson Ave & South Water St","member",789
"208","Clark St & Wellington Ave","casual",788
"209","Larrabee St & Division St","member",786
"210","Clark St & Grace St","member",784
"211","Halsted St & Dickens Ave","casual",781
"212","Broadway & Belmont Ave","casual",779
"213","Southport Ave & Wellington Ave","member",774
"214","Wabash Ave & 9th St","casual",768
"215","Clark St & Winnemac Ave","member",767
"216","Wells St & Polk St","member",764
"217","Michigan Ave & Pearson St","casual",757
"218","Canal St & Monroe St","member",755
"219","Halsted St & Clybourn Ave","casual",753
"220","Desplaines St & Randolph St","member",750
"221","Ogden Ave & Race Ave","member",750
"222","Milwaukee Ave & Wabansia Ave","member",749
"223","Damen Ave & Chicago Ave","member",747
"224","Lakefront Trail & Bryn Mawr Ave","casual",744
"225","Lincoln Ave & Belmont Ave","member",742
"226","Kimbark Ave & 53rd St","member",741
"227","Orleans St & Hubbard St","member",739
"228","Aberdeen St & Monroe St","member",735
"229","Clark St & North Ave","casual",732
"230","Clarendon Ave & Junior Ter","member",731
"231","Racine Ave & Belmont Ave","casual",728
"232","Sangamon St & Washington Blvd","member",722
"233","Dayton St & North Ave","member",718
"234","Cityfront Plaza Dr & Pioneer Ct","member",716
"235","Southport Ave & Waveland Ave","casual",716
"236","Field Blvd & South Water St","member",715
"237","Lincoln Ave & Roscoe St","member",714
"238","Orleans St & Chestnut St (NEXT Apts)","member",714
"239","Field Museum","casual",713
